Neighborhood,TotalPatients,NoShowRate
PARQUE INDUSTRIAL,1,0.0
ILHA DO BOI,35,0.085714285714285715
AEROPORTO,8,0.125
MÁRIO CYPRESTE,371,0.14555256064690028
SOLON BORGES,469,0.14712153518123666
DE LOURDES,305,0.1540983606557377
DO CABRAL,560,0.15714285714285714
SANTA MARTHA,3131,0.15841584158415842
JARDIM DA PENHA,3877,0.16275470724787205
DO QUADRO,849,0.16489988221436985
VILA RUBIM,851,0.16568742655699178
MORADA DE CAMBURI,96,0.16666666666666666
MATA DA PRAIA,644,0.17080745341614906
REPÚBLICA,835,0.17125748502994012
CONSOLAÇÃO,1376,0.17223837209302326
PONTAL DE CAMBURI,69,0.17391304347826086
SANTO ANTÔNIO,2746,0.17625637290604515
REDENÇÃO,1553,0.17707662588538314
NOVA PALESTINA,2264,0.1775618374558304
JABOUR,2509,0.17975288959744917
SANTA LUÍZA,428,0.17990654205607476
COMDUSA,310,0.18064516129032257
JOANA D´ARC,1427,0.1807988787666433
TABUAZEIRO,3132,0.18295019157088122
FORTE SÃO JOÃO,1889,0.18316569613552144
PRAIA DO CANTO,1035,0.18357487922705315
ANTÔNIO HONÓRIO,271,0.18450184501845018
BOA VISTA,312,0.1858974358974359
FRADINHOS,258,0.18604651162790697
CONQUISTA,849,0.18845700824499412
JARDIM CAMBURI,7717,0.18984061163664637
INHANGUETÁ,1057,0.19110690633869443
ILHA DE SANTA MARIA,1885,0.19151193633952254
JUCUTUQUARA,694,0.19164265129682997
SEGURANÇA DO LAR,145,0.19310344827586207
DA PENHA,2217,0.19350473612990526
PIEDADE,452,0.19469026548672566
GOIABEIRAS,700,0.1957142857142857
SANTA LÚCIA,438,0.19634703196347031
ESTRELINHA,538,0.19702602230483271
SANTO ANDRÉ,2571,0.19758848697005058
SÃO CRISTÓVÃO,1836,0.19771241830065359
BONFIM,2773,0.1983411467724486
SÃO BENEDITO,1439,0.19944405837387075
ILHA DO FRADE,10,0.2
BELA VISTA,1907,0.20136339800734138
MONTE BELO,824,0.20145631067961164
GRANDE VITÓRIA,1071,0.20261437908496732
SANTA TEREZA,1332,0.20420420420420421
RESISTÊNCIA,4431,0.20446851726472579
SANTOS REIS,547,0.20475319926873858
SANTA HELENA,178,0.20786516853932585
MARIA ORTIZ,5805,0.20999138673557277
SÃO PEDRO,2448,0.21037581699346405
UNIVERSITÁRIO,152,0.21052631578947367
CENTRO,3334,0.21085782843431314
ROMÃO,2214,0.21409214092140921
NAZARETH,135,0.21481481481481482
BARRO VERMELHO,423,0.21513002364066194
SÃO JOSÉ,1977,0.21648963075366717
CRUZAMENTO,1398,0.21745350500715308
FONTE GRANDE,682,0.218475073313783
ILHA DAS CAIEIRAS,1071,0.21942110177404295
ARIOVALDO FAVALESSA,282,0.21985815602836881
ENSEADA DO SUÁ,235,0.22127659574468084
DO MOSCOSO,413,0.22276029055690072
MARUÍPE,1902,0.22292323869610936
PARQUE MOSCOSO,802,0.22319201995012469
BENTO FERREIRA,858,0.22494172494172493
GURIGICA,2018,0.22596630327056491
PRAIA DO SUÁ,1288,0.22826086956521738
ANDORINHAS,2262,0.23032714412024757
CARATOÍRA,2565,0.2304093567251462
ILHA DO PRÍNCIPE,2266,0.23477493380406
HORTO,175,0.24
JESUS DE NAZARETH,2853,0.24395373291272346
ITARARÉ,3514,0.26266363118952762
SANTA CLARA,506,0.2648221343873518
SANTA CECÍLIA,448,0.27455357142857145
SANTOS DUMONT,1276,0.28918495297805641
ILHAS OCEÂNICAS DE TRINDADE,2,1.0
